code,timestamp_started,timestamp_ended,attacker_id,attacker_name,attacker_faction,attacker_factionname,defender_id,defender_name,defender_faction,defender_factionname,result,stealthed,respect,chain,raid,ranked_war,respect_gain,respect_loss,modifiers_fair_fight,modifiers_war,modifiers_retaliation,modifiers_group_attack,modifiers_overseas,modifiers_chain_bonus
a46cadb77d6cd87be0464a14ade0f317,1682079109,1682079116,2825761,DoubleCroxxed,20881,Big PP,2879869,BOTViking,44762,The Power Rangers,Attacked,0,3.35,119,0,0,3.35,0.84,2.11,1,1,1,1.25,1.27
7ae415ee02c32824feb9e6c55d2144aa,1682080255,1682080269,2199188,Runite,44762,The Power Rangers,1596692,Bluefireluv,0,,Attacked,0,3.36,1,0,0,3.36,0.84,2.97,1,1,1,1,1
2e12467cc6437a4b925d06a6e1c15789,1682080381,1682080424,2199188,Runite,44762,The Power Rangers,2378212,Arion01,0,,Stalemate,0,0,0,0,0,0,0,1,1,1,1,1,1
3c5019c852e609acf3b2d4dcd7a73f4b,1682087254,1682087260,2804718,wajcha,44762,The Power Rangers,2685358,SeeThruYou,21069,Plushies Without Borders!,Lost,0,0,0,0,0,0,0,1,1,1,1,1,1
e1e11dfbd3028b3d0a8de0aa757c2a81,1682088440,1682088445,,,,,2865326,Ravensight,44762,The Power Rangers,Attacked,1,1.58,3,0,0,1.58,0.4,1.26,1,1,1,1.25,1
f702718d8dcb7e840e74accc778e447e,1682089202,1682089228,2167036,Ryukendo,44762,The Power Rangers,2234600,GreatWhiteApe,22968,Revolutionary Guerrillas,Attacked,0,7.62,1,0,1,7.62,1.91,3,2,1,1,1,1
148a068628c5c11b75b421c33e4b6482,1682089222,1682089230,2179557,AnalPuncher,22968,Revolutionary Guerrillas,2344599,GeneralKev,44762,The Power Rangers,Attacked,0,4.03,1,0,1,4.03,1.01,1.4,2,1,1,1,1,1.16
efffdd9af6763f318145797eb355d652,1682089231,1682089233,2665793,Zheetos,22968,Revolutionary Guerrillas,2596997,busra,44762,The Power Rangers,Attacked,0,1.84,2,0,1,1.84,0.46,1.06,2,1,1,1,1
e07445bded578c9084d02f0e3287af35,1682089238,1682089249,2179557,AnalPuncher,22968,Revolutionary Guerrillas,2735383,Saub777,44762,The Power Rangers,Attacked,0,4.28,4,0,1,4.28,1.07,1.43,2,1,1,1,1,1.16
7e583d0c3110a3e1addb761f369b78c0,1682089238,1682089248,,,,,2704729,Daredevil1234,44762,The Power Rangers,Attacked,1,3.69,3,0,1,3.69,0.92,1.5,2,1,1,1,1
32f51fb12ffe87e893cbfd5d1267aad6,1682089250,1682089551,2661370,TheBluffBoy,44762,The Power Rangers,218730,wyx,22968,Revolutionary Guerrillas,Timeout,0,0,0,0,0,0,0,1,1,1,1,1,1
caa75d88f76e63b57daca72941469448,1682089251,1682089282,2167036,Ryukendo,44762,The Power Rangers,2239333,bLackHearTNeL,22968,Revolutionary Guerrillas,Attacked,0,7.3,3,0,1,7.3,1.83,2.83,2,1,1,1,1
1083902a9eb7ccb849e06fb8b0eb4650,1682089255,1682089285,1457203,Woke,22968,Revolutionary Guerrillas,2085947,DodgyBarnet,44762,The Power Rangers,Stalemate,0,0,0,0,0,0,0,1,1,1,1,1,1
02dabc9c63b40baa37e77b56bd9d1104,1682089255,1682089269,2346520,Tasty,44762,The Power Rangers,521364,-BadBob-,22968,Revolutionary Guerrillas,Attacked,0,7.74,2,0,1,7.74,1.94,3,2,1,1,1,1
63195b2b79c9a12c8ebb1d1e31b6aa8f,1682089256,1682089267,2179557,AnalPuncher,22968,Revolutionary Guerrillas,2101656,BristolBrick,44762,The Power Rangers,Attacked,0,5.5,6,0,1,5.5,1.38,2.06,2,1,1,1,1,1.16
11326f0059168e68c638e4fe62da2a44,1682089259,1682089265,,,,,2675997,112,44762,The Power Rangers,Attacked,1,2.17,5,0,1,2.17,0.54,1.12,2,1,1,1,1
596a88d165ff29ea74ccd021005901ae,1682089273,1682089276,2665793,Zheetos,22968,Revolutionary Guerrillas,1946860,ralphietheax,44762,The Power Rangers,Attacked,0,2.12,7,0,1,2.12,0.53,1.14,2,1,1,1,1
040def9a4407ea1a7b3c7620c3f869f0,1682089277,1682089288,2731374,young-willy,44762,The Power Rangers,2615652,Mrgon,22968,Revolutionary Guerrillas,Lost,0,0,0,0,0,0,0,1,1,1,1,1,1
b27cd5c0de39bd1576924160d03f2de9,1682089280,1682089286,,,,,2099194,GooGooSauce,44762,The Power Rangers,Attacked,1,3.15,8,0,1,3.15,0.79,1.13,2,1,1,1,1,1.16
12bc849295403986504c2dbcfb487ae9,1682089286,1682089289,2085947,DodgyBarnet,44762,The Power Rangers,512041,Screech08,22968,Revolutionary Guerrillas,Lost,0,0,0,0,0,0,0,1,1,1,1,1,1
75afb6e7513511b4784dcde4b1d9fef3,1682089295,1682089300,,,,,2784719,Wikali,44762,The Power Rangers,Attacked,1,3.01,9,0,1,3.01,0.75,1.11,2,1,1,1,1,1.16
68f3d7e5cc1d70ff17cba66f9ca6c9ed,1682089297,1682089365,2167036,Ryukendo,44762,The Power Rangers,218730,wyx,22968,Revolutionary Guerrillas,Lost,0,0,0,0,0,0,0,1,1,1,1,1,1
0a7f86354d0ba97f242702901dbee009,1682089307,1682089313,2665793,Zheetos,22968,Revolutionary Guerrillas,2837508,EndKiri,44762,The Power Rangers,Attacked,0,10,10,0,1,10,2.5,1.2,2,1,1,1,10
00c7918a43d89043abe8e467194cf385,1682089309,1682089345,2179557,AnalPuncher,22968,Revolutionary Guerrillas,2600238,Alexreiger,44762,The Power Rangers,Lost,0,0,0,0,0,0,0,1,1,1,1,1,1
fb8d6337fa1740591e1d4409cdbdf6a1,1682089312,1682089316,2777007,DaN1eL,33241,Nub Navy,2804718,wajcha,44762,The Power Rangers,Hospitalized,0,2.65,20,0,0,2.65,0.66,1.75,1,1,1,1.25,1.08
41f6108f70b1c100affe1b21a896a5e9,1682089314,1682089323,,,,,2199188,Runite,44762,The Power Rangers,Attacked,1,2.82,11,0,1,2.82,0.71,1.27,2,1,1,1,1.01
a22ea51de7b2c03dc575f4cd74932503,1682089317,1682089326,,,,,2879869,BOTViking,44762,The Power Rangers,Attacked,1,3.22,12,0,1,3.22,0.81,1.58,2,1,1,1,1.02
b8730e3e0fe7f684e104f43ff5939510,1682089323,1682089335,1457203,Woke,22968,Revolutionary Guerrillas,2085947,DodgyBarnet,44762,The Power Rangers,Attacked,0,8.65,13,0,1,8.65,2.16,3,2,1,1,1,1.03
ab7826e4d9371385ce38db8046872188,1682089329,1682089332,2085947,DodgyBarnet,44762,The Power Rangers,512041,Screech08,22968,Revolutionary Guerrillas,Interrupted,0,0,0,0,0,0,0,1,1,1,1,1,1
1e185b59a3b326f90b0fa0582d13392c,1682089335,1682089338,2665793,Zheetos,22968,Revolutionary Guerrillas,2590405,microgeniusz80,44762,The Power Rangers,Attacked,0,2.25,14,0,1,2.25,0.56,1.07,2,1,1,1,1.04
