player,attacks,outside_hits,points_gained,points_lost,assist,bonus_hit_respect,payout
Transhumanist,74,9,549,94,1,410,181424250
RUKittenMeRTNow,51,16,231,190,0,70,140846923
DodgyBarnet,59,0,358,265,1,50,132798527
Tasty,47,0,333,105,0,20,105076276
TheBluffBoy,45,2,300,147,1,0,104852709
Aditya30,25,27,94,187,3,10,103846660
Ryukendo,46,0,421,178,1,0,103734876
saltedpopcorn,40,0,153,457,2,0,91215150
Alexreiger,35,7,237,235,0,160,89985534
TheAlbanian,0,52,0,165,0,0,87190952
Runite,3,47,0,139,1,0,86408469
baustelac,31,0,141,121,0,30,69305629
BOTViking,0,40,0,91,0,0,67069963
BristolBrick,2,34,7,65,0,0,61480800
thekwebb,2,24,0,147,1,0,45607575
NoirHearts,14,4,106,206,0,0,38006312
Kelpie_,0,17,0,62,0,0,28504734
D_c_D,11,0,45,149,0,0,24592320
mesht,3,10,9,163,0,0,23474487
young-willy,9,0,24,237,0,0,20120989
wajcha,2,7,0,100,0,0,16208574
YangGang,6,0,7,179,0,0,13413993
GeneralKev,5,0,5,371,0,0,11178327
LordTenchi,2,4,0,80,0,0,11178327
GooGooSauce,3,2,11,272,0,0,10060494
112,3,0,0,116,0,0,6706996
Wikali,3,0,11,161,0,0,6706996
Heathcliffe,3,0,9,234,0,0,6706996
Saub777,2,0,3,246,0,0,4471331
AP86,2,0,0,95,0,0,4471331
EndKiri,0,2,0,143,0,0,3353498
busra,0,0,0,120,0,0,0
Daredevil1234,0,0,0,254,0,0,0
ralphietheax,0,0,0,120,0,0,0
microgeniusz80,0,0,0,157,0,0,0
Johnny84,0,0,0,177,0,0,0
Todd93,0,0,0,195,0,0,0
Dustyplok,0,0,0,55,0,0,0
Sta_Whi,0,0,0,52,0,0,0
Ravensight,0,0,0,42,0,0,0
